site.number,sample.id,year,month,variable,val,agent.number
3,71103,2007,11,d18O,-6.76,21815
3,71203,2007,12,d18O,-2.53,21815
3,80103,2008,1,d18O,-4.53,21815
3,80203,2008,2,d18O,-6.73,21815
3,80303,2008,3,d18O,-5.39,21815
3,80403,2008,4,d18O,-7.62,21815
3,80503,2008,5,d18O,-6.35,21815
3,80603,2008,6,d18O,-4,21815
3,80703,2008,7,d18O,-5.29,21815
3,80803,2008,8,d18O,-5.91,21815
3,80903,2008,9,d18O,-5.76,21815
3,81003,2008,10,d18O,-3.37,21815
3,81103,2008,11,d18O,-3.63,21815
3,81203,2008,12,d18O,-5.76,21815
3,90103,2009,1,d18O,-1.56,21815
3,90203,2009,2,d18O,-4.27,21815
3,90303,2009,3,d18O,-1.92,21815
3,90403,2009,4,d18O,-4.25,21815
3,90503,2009,5,d18O,-6.4,21815
3,90603,2009,6,d18O,-4.8,21815
3,90703,2009,7,d18O,-8.42,21815
3,90803,2009,8,d18O,-3.1,21815
3,91003,2009,10,d18O,-4.52,21815
3,91103,2009,11,d18O,-1.46,21815
3,91203,2009,12,d18O,-0.85,21815
3,X0103,2010,1,d18O,-3.01,21815
3,X0203,2010,2,d18O,-1.72,21815
3,X0303,2010,3,d18O,-2.34,21815
3,X0403,2010,4,d18O,-4.41,21815
3,X0503,2010,5,d18O,-6.72,21815
3,X0603,2010,6,d18O,-4.82,21815
4,70804,2007,8,d18O,-5.54,29644
4,70904,2007,9,d18O,-4.84,29644
4,71004,2007,10,d18O,-3.28,29644
4,71104,2007,11,d18O,-5.47,29644
4,71204,2007,12,d18O,-2.78,29644
4,80104,2008,1,d18O,-5.65,29644
4,80204,2008,2,d18O,-8.69,29644
4,80304,2008,3,d18O,-7.09,29644
4,80404,2008,4,d18O,-5.54,29644
4,80504,2008,5,d18O,-7.68,29644
4,80604,2008,6,d18O,-4.92,29644
4,80704,2008,7,d18O,-6.09,29644
4,80804,2008,8,d18O,-5.67,29644
4,80904,2008,9,d18O,-5.78,29644
4,81104,2008,11,d18O,-4.06,29644
4,81204,2008,12,d18O,-8.74,29644
4,90104,2009,1,d18O,-3.21,29644
4,90204,2009,2,d18O,-5.16,29644
4,90304,2009,3,d18O,-3.29,29644
4,90504,2009,5,d18O,-6.71,29644
4,90604,2009,6,d18O,-5.82,29644
4,90704,2009,7,d18O,-6.96,29644
4,90804,2009,8,d18O,-5.56,29644
4,90904,2009,9,d18O,-3.55,29644
4,91004,2009,10,d18O,-4.51,29644
4,91104,2009,11,d18O,-0.25,29644
4,91204,2009,12,d18O,-1.03,29644
5,70805,2007,8,d18O,-5.14,21536
5,70905,2007,9,d18O,-4.4,21536
5,71005,2007,10,d18O,-1.13,21536
5,71105,2007,11,d18O,-5.73,21536
5,71205,2007,12,d18O,-2.85,21536
5,80105,2008,1,d18O,-4.42,21536
5,80205,2008,2,d18O,-8.82,21536
5,80305,2008,3,d18O,-4.7,21536
5,80405,2008,4,d18O,-6.11,21536
5,80505,2008,5,d18O,-7.22,21536
5,80605,2008,6,d18O,-3.48,21536
5,80705,2008,7,d18O,-5.34,21536
5,80805,2008,8,d18O,-5.27,21536
5,80905,2008,9,d18O,-4.57,21536
5,81005,2008,10,d18O,-2.7,21536
5,81105,2008,11,d18O,-4,21536
5,81205,2008,12,d18O,-6.99,21536
5,90105,2009,1,d18O,-1.06,21536
5,90205,2009,2,d18O,-5.17,21536
5,90305,2009,3,d18O,-4.73,21536
5,90405,2009,4,d18O,-7.36,21536
5,90505,2009,5,d18O,-6.23,21536
5,90605,2009,6,d18O,-3.04,21536
5,90705,2009,7,d18O,-8.81,21536
5,90805,2009,8,d18O,-3.77,21536
6,70806,2007,8,d18O,-4.57,21053
6,70906,2007,9,d18O,-7.62,21053
6,71006,2007,10,d18O,-2.98,21053
6,71106,2007,11,d18O,-5.58,21053
6,71206,2007,12,d18O,-2.59,21053
6,80106,2008,1,d18O,-2.65,21053
6,80206,2008,2,d18O,-7.92,21053
6,80306,2008,3,d18O,-6.34,21053
6,80406,2008,4,d18O,-5.5,21053
6,80506,2008,5,d18O,-6.54,21053
6,80606,2008,6,d18O,-4.56,21053
6,80706,2008,7,d18O,-5.12,21053
6,80806,2008,8,d18O,-5.97,21053
6,80906,2008,9,d18O,-4.81,21053
6,81006,2008,10,d18O,-3.83,21053
6,81106,2008,11,d18O,-3.58,21053
6,81206,2008,12,d18O,-4.3,21053
6,90106,2009,1,d18O,-2.19,21053
6,90206,2009,2,d18O,-5.82,21053
6,90306,2009,3,d18O,-1.78,21053
6,90406,2009,4,d18O,-4.38,21053
6,90506,2009,5,d18O,-6.53,21053
6,90606,2009,6,d18O,-5.72,21053
6,90706,2009,7,d18O,-6.86,21053
6,90806,2009,8,d18O,-4.27,21053
6,90906,2009,9,d18O,-4.58,21053
6,91006,2009,10,d18O,-3.68,21053
6,91106,2009,11,d18O,-0.38,21053
6,91206,2009,12,d18O,-0.28,21053
6,X0106,2010,1,d18O,-2.33,21053
